state,county,city,zip_code,total_population,total_population_2024,median_age,housing_units,median_gross_rent,median_home_value,median_household_income,white_population,black_population,american_indian_alaska_native_population,asian_population,hispanic_latino_population,foreign_born_population,total_moved_last_year,moved_from_different_state,moved_from_abroad,average_price,average_beds,average_baths,average_sqft,num_listings
CO,Park County,Hartsel,80449,1092,1190,59.4,1135,-666666666,339600,-666666666,979,0,13,0,67,0,1086,929,0,98924.24390243902,2.0,0.5555555555555556,1312.0,41
CO,Lincoln County,Limon,80826,1595,1190,36.8,0,-666666666,-666666666,-666666666,1117,429,11,6,796,126,1595,1595,0,,,,,0
CO,Costilla County,San Luis,81152,1089,1187,48.8,857,601,108500,26950,812,0,71,1,793,30,1082,973,49,32303.634146341465,2.0,1.0,1188.0,41
CO,Cheyenne County,Cheyenne Wells,80810,1116,1170,43.2,604,760,161500,70625,974,2,0,3,166,19,1083,1013,29,206350.0,3.6,1.8,1923.2,5
CO,Logan County,Fleming,80728,1128,1151,44.0,418,746,185000,65926,870,0,8,23,215,19,1122,984,68,135000.0,2.333333333333333,2.0,2346.5,3
CO,Otero County,Manzanola,81058,1242,1124,42.3,520,688,93200,52679,930,43,17,38,512,21,1231,1199,20,89816.66666666667,2.2,1.2,1410.4,6
CO,Garfield County,De Beque,81630,1156,1119,35.4,471,1082,253100,68922,1061,0,0,0,73,36,1145,1013,73,529171.4285714285,2.625,1.3333333333333333,1338.875,14
CO,Costilla County,Fort Garland,81133,1072,1109,54.6,703,704,170100,45000,873,0,22,7,568,23,1064,894,36,51247.56097560976,2.6666666666666665,2.0,2280.6666666666665,41
CO,Clear Creek County,Georgetown,80444,1098,1104,43.7,731,1109,312300,44118,1000,8,4,0,106,23,1093,857,72,450681.5789473684,1.6206896551724137,1.7333333333333334,927.7333333333332,38
CO,Montrose County,Nucla,81424,1034,1098,59.2,710,670,148900,32917,996,24,0,1,22,1,1019,996,23,269128.5714285714,3.0,1.8333333333333333,1214.1666666666667,7
CO,Weld County,Gilcrest,80623,1171,1082,31.2,372,1420,227800,62656,926,8,8,0,782,110,1171,1008,101,375000.0,6.0,2.0,1758.0,1
CO,Las Animas County,Weston,81091,969,1036,40.9,668,624,218000,47045,552,56,217,0,413,96,969,825,0,296802.43902439025,2.8666666666666667,2.25,2186.625,41
CO,Kit Carson County,Stratton,80836,1110,1028,34.7,457,937,157800,49410,905,3,17,0,219,68,1067,938,88,480000.0,,,,1
CO,Gunnison County,Crested Butte,81225,1052,1028,40.5,1816,1336,552500,94091,1029,0,0,0,9,30,1052,788,82,1716265.853658537,2.189189189189189,2.621621621621621,1749.8648648648648,41
CO,Saguache County,Saguache,81149,939,1019,53.7,563,654,139500,44722,762,0,0,75,256,8,932,802,18,640337.5,1.9285714285714288,1.3333333333333333,1563.4666666666667,24
CO,Fremont County,Howard,81233,1006,1019,39.5,582,-666666666,305900,53897,874,20,0,0,49,2,995,840,9,786223.0769230769,3.142857142857143,2.0,2344.0,13
CO,Conejos County,Manassa,81141,1049,1012,37.9,483,760,125000,42039,790,0,66,0,504,23,1034,950,33,170000.0,3.0,1.0,1200.0,1
CO,Logan County,Merino,80741,1020,1011,33.4,426,1151,301500,65469,931,0,10,45,134,44,1012,964,32,388100.0,3.0,0.5,1897.5,2
CO,Kiowa County,Eads,81036,1074,1007,44.4,561,767,103900,45096,1040,7,1,0,32,2,1055,846,97,175562.5,1.4285714285714286,0.5714285714285714,683.7142857142857,8
CO,Grand County,Hot Sulphur Springs,80451,984,1001,39.2,365,961,302500,89306,898,11,0,13,60,13,971,714,28,362088.8888888889,1.6666666666666667,0.625,1553.6666666666667,9
CO,Eagle County,Minturn,81645,1098,1000,35.7,536,1898,797300,101250,959,0,0,0,191,6,1098,948,117,1936050.0,3.55,3.4,2219.5,20
CO,Saguache County,Crestone,81131,1042,998,65.8,788,959,259800,48611,983,0,25,0,65,12,1042,849,59,225876.82926829267,2.625,1.761904761904762,2006.875,41
CO,Elbert County,Ramah,80832,851,975,41.6,390,-666666666,325300,69583,801,4,3,0,25,8,844,722,23,447055.7142857143,3.25,2.5,3045.375,28
CO,Larimer County,Red Feather Lakes,80545,1076,968,63.0,1991,-666666666,264000,66250,1040,0,5,0,67,0,1076,882,68,359268.2926829268,3.647058823529412,2.823529411764706,2214.9411764705883,41
CO,El Paso County,Cascade,80809,947,966,54.1,588,1500,379900,-666666666,906,0,0,0,32,0,947,863,84,493376.9230769231,2.333333333333333,1.5,1262.5,13
CO,Baca County,Walsh,81090,949,957,55.5,602,233,130700,38889,862,0,22,0,148,46,949,883,20,348500.0,3.0,1.5,1495.0,4
CO,Lincoln County,Rush,80833,921,942,59.9,505,661,167400,36380,910,0,0,0,53,0,915,903,1,320615.7894736842,2.875,1.5,1595.0,19
CO,Chaffee County,Poncha Springs,81242,1146,913,45.4,559,932,385100,83138,1022,0,0,6,232,7,1146,1014,76,634923.2380952381,3.357142857142857,2.9285714285714284,2251.0,21
CO,Morgan County,Log Lane Village,80705,1017,882,31.5,374,823,110800,51923,867,0,13,2,503,101,1008,843,89,171000.0,2.5,1.5,1986.5,2
CO,Morgan County,Weldona,80653,802,877,41.6,484,825,309900,61650,752,4,0,0,118,4,800,726,45,269127.1818181818,2.6666666666666665,1.0,1086.6,11
CO,Kit Carson County,Flagler,80815,770,852,53.1,424,733,179700,41806,758,0,2,0,3,1,770,669,33,514166.6666666667,3.6,1.6,2420.6,6
CO,Larimer County,Drake,80515,646,849,60.2,676,-666666666,328100,90396,646,0,0,0,18,12,646,646,0,473886.3636363637,2.625,1.9375,1919.375,22
CO,El Paso County,Colorado Springs,80938,565,847,32.1,188,-666666666,355600,59858,229,103,0,0,321,78,565,438,107,484052.2222222223,3.4444444444444446,3.333333333333333,2457.6666666666665,9
CO,Otero County,Swink,81077,617,842,39.5,364,569,133300,56106,550,0,0,10,222,0,597,492,37,198000.0,3.0,2.0,2036.0,1
CO,Bent County,Wiley,81092,803,841,42.0,364,669,209400,68456,720,0,0,2,109,5,795,695,4,292500.0,4.5,1.5,1978.5,2
